route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
90,29491296,"Saint-Ismier, Collège Grésivaudan",12345-MIHLV09_ST0_5_HI2425-MIHLV11_ST0_0_HI2425,1,SEM_90_2,1,2
D,29846499,"Saint-Martin-d'Hères, Etienne Grappe",12345-MGHLV10_ST0_17_HI2425,1,SEM_D_3,1,2
E,29034012,"Grenoble, Louise Michel",12345-MGHLV02_ST0_10_HI2425,0,SEM_E_2,1,2
D,28887691,"Grenoble, Gares",1234567-MGHD02_ST6_1_HI2425-MGHD12_ST6_2_HI2425,1,SEM_D_5,1,2
C,29069905,"Seyssins, Le Prisme",12345-MGHLV10_ST0_13_HI2425,1,SEM_C_2,1,2
8,30058086,"Gières, Université - Biologie",1234567-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,0,SEM_C8_4,1,2
11,29982171,"Lumbin, Longs Prés",12345-MIHLV11_ST0_0_HI2425,1,SEM_C11_1,1,2
5,29983106,"Grenoble, Palais de Justice - Gare",12345-MSHLVH12_ST8_2_HI2425-MSHLW12_ST11_2_HI2425,0,SEM_C5_1,1,2
A,29936385,"Le Pont-de-Claix, L'Etoile",12345-MEHLV12_ST8_2_HI2425-MEHW12_ST11_2_HI2425,0,SEM_A_3,1,2
A,29270664,"Le Pont-de-Claix, L'Etoile",1234567-MEHD02_ST6_1_HI2425-MEHD12_ST6_2_HI2425,0,SEM_A_3,1,2
A,30018398,"Le Pont-de-Claix, L'Etoile",12345-MEHLV11_ST8_2_HI2425,0,SEM_A_3,1,2
1,29982487,"Montbonnot-Saint-Martin, Pré de l'Eau",12345-MSHLVH12_ST8_2_HI2425-MSHLW12_ST11_2_HI2425,0,SEM_C1_6,1,2
D,29846429,"Grenoble, Gares",12345-MGHLV10_ST0_17_HI2425,1,SEM_D_5,1,2
13,29130958,"Vizille, Chantefeuille",1234567-MIHS48_ST5_1_HI2425,0,SEM_C13_2,1,2
25,29844662,"Le Gua, Les Saillants",12345-MAHLV06_ST0_0_HI2425,0,SEM_25_1,1,2
2,29195104,"Grenoble, Louise Michel",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,1,SEM_C2_1,1,2
6-HI2425,29930383,"Seyssins, Le Prisme",1234567-MSHSAH12_ST5_0_HI2425,1,SEM_C6_3,1,2
7,29747445,"Saint-Martin-d'Hères, Henri Wallon",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,0,SEM_C7_1,1,2
23,29457385,"Saint-Martin-d'Hères, Université - Condillac",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425,1,SEM_23_4,1,2
