stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
ARLEQUIN,GENARLEQUIN,"Grenoble, Arlequin",45.16359,5.73047,,1,,1
ARN,GENARN,"Domène, Les Arnauds",45.20671,5.84803,,1,,1
ARO,GENARO,"Saint-Martin-le-Vinoux, Ancienne route",45.20976,5.71736,,1,,1
ARZELIER,GENARZELIER,"Le Gua, L'Arzelier",44.99692,5.60258,,1,,1
AUGUFERR,GENAUGUFERR,"Échirolles, Auguste Ferrier",45.14483,5.70962,,1,,1
AUGURAVI,GENAUGURAVI,"Grenoble, Auguste Ravier",45.18399,5.73965,,1,,1
AVREPUB,GENAVREPUB,"Bresson, Avenue de la République",45.14279,5.73589,,1,,1
AYE,GENAYE,"Crolles, La Croix des Ayes",45.27734,5.87329,,1,,1
BACHELAR,GENBACHELAR,"Grenoble, Bachelard",45.16681,5.70594,,1,,1
BAJATIER,GENBAJATIER,"Grenoble, Bajatière",45.17813,5.73614,,1,,1
BALMETTE,GENBALMETTE,"Claix, La Balmette",45.12521,5.68811,,1,,1
BALZAZ,GENBALZAZ,"Varces-Allières-et-Risset, Balzac",45.08728,5.69421,,1,,1
BANCHARD,GENBANCHARD,"Saint-Martin-le-Vinoux, La Banchardière",45.21726,5.71279,,1,,1
BARBET,GENBARBET,"Quaix-en-Chartreuse, Le Barbet",45.25801,5.70815,,1,,1
BARNA,GENBARNA,"Saint-Égrève, Collège Barnave",45.23097,5.69175,,1,,1
BAS,GENBAS,"Saint-Ismier, La Bâtie",45.23927,5.84859,,1,,1
BASC,GENBASC,"Voreppe, Bascule",45.26826,5.65379,,1,,1
BASCULE,GENBASCULE,"Saint-Paul-de-Varces, La Bascule",45.07181,5.65496,,1,,1
BASMONT,GENBASMONT,"Quaix-en-Chartreuse, Bas de Mont-Quaix",45.25288,5.74174,,1,,1
BASPET,GENBASPET,"Quaix-en-Chartreuse, Bas de Petesset",45.25635,5.71059,,1,,1
BASQUAIX,GENBASQUAIX,"Quaix-en-Chartreuse, Le Bas de Quaix",45.25399,5.70142,,1,,1
